StudyCategory,Subcategory,category,a_obs,a_price,b_obs,b_price,c_obs,c_price,d_obs,d_price,e_obs,e_price,other_obs,other_price
Soupes,Gazpachos,en:gazpacho,58,3.765,,,,,,,,,,
Soupes,Soupes poisson/viande,en:fish-soups,,,20,5.1354084,11,5.853333,,,,,,
Soupes,Soupes de légumes,en:vegetable-soups,102,3.695,291,3.4999998,382,4.0849996,,,,,41,27.179487
Yaourts,Tous les yaourts,en:yogurts,219,4.8749995,402,3.845,1372,4.145,190,2.9750001,95,4.6,52,7.28
Yaourts,Yaourts aromatisés,en:fruit-yogurts,33,5.6666665,123,4.2250004,721,4.26,11,3.0092592,14,5.075926,,
Yaourts,Fromages blancs,en:fermented-dairy-desserts,702,3.3931818,719,3.6250002,1847,3.9864862,219,3.0462964,101,4.6,58,7.517512
Yaourts,Yaourts à la grecque,en:greek-style-yogurts,,,,,209,3.4,,,,,15,5.86
Yaourts,Alternatives végétales,en:non-dairy-yogurts,187,4.0,260,4.2125,164,4.75,,,,,,
Yaourts,Autres laits (non-vache),en:sheep-milk-yogurts,,,,,52,7.0652175,,,,,,
Yaourts,Yaourts nature,en:plain-yogurts,92,2.055,165,2.82,211,2.82,,,,,,
Yaourts,Yaourts à la vanille,en:vanilla-yogurt,,,26,4.08,118,4.385,,,,,,
Yaourts,Yaourts sucrés,en:plain-yogurt-with-sugar,,,,,26,2.65,,,,,,
Yaourts à boire,Tous yaourts à boire,en:yogurt-drinks,,,12,4.24375,29,7.4666667,149,2.93,59,4.6875,12,7.9666667
Yaourts à boire,Aromatisés/fruits,en:flavoured-yogurt-drinks,,,,,,,78,2.9444447,,,,
Yaourts à boire,Nature et sucrés,en:yogurt-drinks-with-sugar,,,,,,,15,2.66,,,,
Fromages,Fromages,en:cheeses,324,2.0555556,153,3.5,1265,8.849999,3358,13.450001,449,13.513514,81,13.2
